Column1,Column10,Czech
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F,,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M,You don't draw on the first turn. You will have to wait for that.,Derk
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F,,Derk
TUTORIAL_TUTORIALMORETHANONECARD_949_M,You know you can play more than one card per turn... right?,Derk
TUTORIAL_TUTORIALMORETHANONECARD_949_F,,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M,Was I not clear?,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F,,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M,You can play a Squirrel and also sacrifice it in the same turn.,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F,,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M,You can play as many cards per turn as your sacrifices will allow...,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F,,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M,Just a Squirrel? Interesting choice...,Derk
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F,,Derk
_OPPONENTSKIPTURN_479_M,I'm obligated to pass.,Derk
_OPPONENTSKIPTURN_479_F,I'm obligated to pass.,Derk
_OPPONENTSKIPTURN_REPEAT_#1_558_M,Pass.,Derk
_OPPONENTSKIPTURN_REPEAT_#1_558_F,,Derk
_OPPONENTSKIPTURN_REPEAT_#2_465_M,I'll pass.,Derk
_OPPONENTSKIPTURN_REPEAT_#2_465_F,,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M,Don't get ahead of yourself. You need to draw a card first.,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F,,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M,I won't allow you to play a card before you draw a new one.,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F,,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M,Draw a card.,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F,,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M,Stop. Draw a card.,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F,,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M,Your turn to draw. You can play cards after.,Derk
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F,,Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M,Need I remind you? Your items may help...,Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F,,Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M,"Have you forgotten the items I gave you? Tisk, tisk.",Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F,,Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M,An item could help...,Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F,,Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M,"You're in a tough spot, no doubt.",Derk
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M,You can't use that right now.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M,That one's only for card dueling.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M,I'll let you use that... but not now.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F,,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M,Enough. You can't use that presently.,Derk
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M,You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M,You can't play that presently. But your [c:bR]Squirrel[c:] is free.,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F,,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M,No... But you can play your [c:bR]Squirrel[c:].,Derk
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M,"Believe it or not, you're not the first to lose an eye here...",Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M,This isn't much fun if you're half blind.,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M,"Perhaps, you'd like to replace it?",Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M,Would you care for a new eye?,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M,I imagine you'd like to replace that eye you lost.,Derk
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M,Better?,Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M,"Regardless, the choice is final.",Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M,Happy with that one?,Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F,,Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M,The choice is final.,Derk
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F,,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M,Did I neglect to mention overkill damage?,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F,,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M,Excess damage is not wasted.,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F,,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M,It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F,,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M,Lucky for you.,Derk
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M,An ancient woman emerged from behind an oak tree.,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M,"She carefully laid out intricate wood carvings, then gestured at them brusquely.",Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M,The old [c:bR]woodcarver[c:] again appeared before you.,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M,It was another encounter with the [c:bR]woodcarver[c:].,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M,Taking a head and a body of a totem may bring good fortune.,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M,The [c:bR]woodcarver[c:] again offered her carvings.,Derk
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M,You accepted the [c:bR]woodcarver's[c:] offering.,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M,It is useless without its second half...,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M,But you intuited that this would not be the last encounter with [c:bR]her[c:].,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M,Without a top and bottom the totem is incomplete.,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M,"Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.",Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F,,Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M,"You left with a piece, but without a complete totem.",Derk
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F,,Derk
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M,The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.,Derk
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F,,Derk
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M,The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.,Derk
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F,,Derk
TUTORIAL_TUTORIALBUYPELTSINTRO_712_M,You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.,Derk
TUTORIAL_TUTORIALBUYPELTSINTRO_712_F,,Derk
TUTORIAL_TUTORIALBUYPELTSINTRO_481_M,"There was something uncanny about his appearance, but you were quickly distracted by his wares.",Derk
TUTORIAL_TUTORIALBUYPELTSINTRO_481_F,,Derk
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M,The man assured you of the value of the pelts.,Derk
TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F,,Derk
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M,They appear to be useless in a fight...,Derk
TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F,,Derk
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M,But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.,Derk
TUTORIAL_TUTORIALBUYPELTSOUTRO_937_F,,Derk
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_M,You encountered a small outpost in the woods tended by a mysterious woman.,Derk
TUTORIAL_TUTORIALTRADEPELTSINTRO_553_F,,Derk
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_M,It was [c:bR]The Trader[c:] that the old [c:bR]Trapper[c:] had mentioned!,Derk
TUTORIAL_TUTORIALTRADEPELTSINTRO_123_F,,Derk
TUTORIAL_TUTORIALTRADEPELTSINTRO_887_M,Her appearance was unsettling but you were mollified by her offerings.,Derk
TUTORIAL_TUTORIALTRADEPELTSINTRO_887_F,,Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_299_M,"With sound of [c:bR]The Prospector[c:]'s pickaxe still ringing in your ears, you carried onwards.",Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_299_F,,Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_REPEAT_#1_450_M,After the harrowing encounter with [c:bR]The Prospector[c:] you gathered yourself and continued onwards.,Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_REPEAT_#1_450_F,,Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_REPEAT_#2_998_M,"Free of [c:bR]The Prospector[c:]'s unhinged gaze, you looked ahead.",Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_REPEAT_#2_998_F,,Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_REPEAT_#3_420_M,"Wiping the dust from your trousers, you returned to your journey.",Derk
GAME_FLOW_REGIONCOMPLETEPROSPECTOR_REPEAT_#3_420_F,,Derk
GAME_FLOW_REGIONNEXT_878_M,Hmm...,Derk
GAME_FLOW_REGIONNEXT_878_F,,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#1_028_M,Let me see...,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#1_028_F,,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#2_538_M,Let me think...,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#2_538_F,,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#3_761_M,"Hmmm... Oh yes, I know.",Derk
GAME_FLOW_REGIONNEXT_REPEAT_#3_761_F,,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#4_305_M,We will need another map...,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#4_305_F,,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#5_353_M,A moment...,Derk
GAME_FLOW_REGIONNEXT_REPEAT_#5_353_F,,Derk
GAME_FLOW_REGIONWETLANDS_688_M,The rank smell of rot and mold permeated the humid air.,Derk
GAME_FLOW_REGIONWETLANDS_688_F,,Derk
GAME_FLOW_REGIONWETLANDS_522_M,Every step forward was answered by some nearby slip or slither.,Derk
GAME_FLOW_REGIONWETLANDS_522_F,,Derk
GAME_FLOW_REGIONWETLANDS_774_M,You tread cautiously into... [c:bR]The Wetlands.[c:],Derk
GAME_FLOW_REGIONWETLANDS_774_F,,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#1_288_M,The air grew thick with moisture...,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#1_288_F,,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#1_440_M,The buzzing and chirping of insects drowned out the sound of your footfalls...,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#1_440_F,,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#1_829_M,You beheld... [c:bR]The Wetlands.[c:],Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#1_829_F,,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#2_111_M,As the air grew humid your boots became harder to pull from the mud.,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#2_111_F,,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#2_633_M,The dank smell of tepid water invaded your nostrils.,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#2_633_F,,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#2_432_M,You had reached... [c:bR]The Wetlands.[c:],Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#2_432_F,,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#3_536_M,Tepid water flooded your boots.,Derk
GAME_FLOW_REGIONWETLANDS_REPEAT_#3_536_F,,Derk
