Column1;Column10;SAMPLE TEXT 1
SPECIAL_NODES_WOODCARVERINTRO_121_M;With gently shaking hands, she placed her offerings before you.;Rozklepanou rukou před tebe opatrně položila svoji nabídku.

SPECIAL_NODES_WOODCARVERINTRO_121_F;;

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M;The decrepit [c:bR]woodcarver[c:] appeared before you.;Objevila se před tebou zchátralá [c:bR]řezbářka[c:].

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F;;

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M;She moved with a certain vigor in spite of her considerable age.;SAMPLE TEXT 24

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F;;

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M;You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.;SAMPLE TEXT 26

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F;;

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M;After an overlong moment of silence, she moved to offer her carvings.;Po předlouhé chvíli ticha ti nabídla své řezby.

SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F;;

TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M;[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!;SAMPLE TEXT 30

TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F;;

TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M;[t:0.01]Wow...[w:0.1] Seriously?;[t:0.01]Wow...[w:0.1] To jako vážně?

TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F;;

TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M;[t:0.01]Oh[w:0.2] come[w:0.2] on!;[t:0.01]Ale[w:0.2] no[w:0.2] tak!

TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F;;

TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M;Again...;Už zase...

TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F;;

TALKING_CARDS_STOATINTRO_856_M;You didn't sacrifice me?;Tys mě neobětoval?

TALKING_CARDS_STOATINTRO_856_F;;

TALKING_CARDS_STOATINTRO_511_M;How kind.;Jak laskavé.

TALKING_CARDS_STOATINTRO_511_F;;

TALKING_CARDS_STOATINTRO_153_M;You sacrificed me.[w:0.2];Tys mě obětoval.[w:0.2]

TALKING_CARDS_STOATINTRO_153_F;;

TALKING_CARDS_STOATINTRO_269_M;[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5];[t:2][shake:1]Když[w:0.2] jsem[w:0.2] zrovna[w:0.2][shake:1] spal.[w:0.5]

TALKING_CARDS_STOATINTRO_269_F;;

TALKING_CARDS_STOATINTRO_140_M;[anim:sly]It was the right play.[w:0.2];[anim:sly]Byl to ten správný tah.[w:0.2]

TALKING_CARDS_STOATINTRO_140_F;;

TALKING_CARDS_STOATINTRO_279_M;I get it.[w:0.2];Chápu.[w:0.2]

TALKING_CARDS_STOATINTRO_279_F;;

TALKING_CARDS_STOATINTRO_193_M;[anim:]Maybe...;[anim:]Možná...

TALKING_CARDS_STOATINTRO_193_F;;

TALKING_CARDS_STOATINTRO_094_M;...you'll help me?[leshy:Take your turn.][w:2];...bys mi mohl pomoci?[leshy:Jsi na řadě.][w:2]

TALKING_CARDS_STOATINTRO_094_F;;

TALKING_CARDS_STOATINTRO_448_M;Play along for now.;Zatím hraj dál

TALKING_CARDS_STOATINTRO_448_F;;

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M;What an honor.;Je mi ctí.

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F;;

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M;Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:];Vážně?[w:0.2][anim:sly] Dobře.[w:0.2][anim:]

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F;;

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M;Fine choice.;Dobrá volba.

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F;;

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M;Another sigil...[w:0.2];Další znamení...[w:0.2]

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F;;

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M;[anim:sly]Hooray...[anim:];[anim:sly]Hurá...[anim:]

TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F;;

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M;Hey.;Hele.

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F;;

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M;Pick me.;Vyber mě.

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F;;

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M;I'll go.;Já půjdu.

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F;;

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M;It's me.;SAMPLE TEXT 72

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F;;

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M;Your choice.;Tvoje volba.

TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F;;SAMPLE TEXT 75

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M;You are lacking the Bones for that creature.;SAMPLE TEXT 76

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F;;SAMPLE TEXT 77

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M;You'll need more Bones to play that [c:bR][v:0][c:].;SAMPLE TEXT 78

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F;;SAMPLE TEXT 79

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M;You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...;SAMPLE TEXT 80

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F;;SAMPLE TEXT 81

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M;That creature demands more Bones.;SAMPLE TEXT 82

GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F;;SAMPLE TEXT 83

TUTORIAL_TUTORIALBONESTOKEN_797_M;From the death of your creature you've gained a [c:bR]bone.[c:];SAMPLE TEXT 84

TUTORIAL_TUTORIALBONESTOKEN_797_F;;SAMPLE TEXT 85

TUTORIAL_TUTORIALBONESTOKEN_637_M;You will not lose this until it is spent... or the battle ends.;SAMPLE TEXT 86

TUTORIAL_TUTORIALBONESTOKEN_637_F;;SAMPLE TEXT 87

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M;You've gained a [c:bR]bone.[c:];SAMPLE TEXT 88

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F;;SAMPLE TEXT 89

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M;It will stay there until you spend it... or the battle ends.;SAMPLE TEXT 90

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F;;SAMPLE TEXT 91

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M;That's a [c:bR]bone.[c:];SAMPLE TEXT 92

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F;;SAMPLE TEXT 93

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M;Yes... That's a [c:bR]bone.[c:];SAMPLE TEXT 94

TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F;;SAMPLE TEXT 95

TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M;[t:3]While I was asleep?;SAMPLE TEXT 96

TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F;;SAMPLE TEXT 97

TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M;[t:3]Again?;SAMPLE TEXT 98

TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F;;SAMPLE TEXT 99

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M;Not now. Draw a card first.;SAMPLE TEXT 100

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F;;SAMPLE TEXT 101

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M;Slow down. You will first need to draw a card.;SAMPLE TEXT 102

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F;;SAMPLE TEXT 103

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M;One thing at a time. Draw first.;SAMPLE TEXT 104

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F;;SAMPLE TEXT 105

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M;You may use that... after you have drawn your card for the turn.;SAMPLE TEXT 106

GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F;;SAMPLE TEXT 107

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M;You cannot draw a card on your first turn.;SAMPLE TEXT 108

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F;;SAMPLE TEXT 109

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M;No drawing on the first turn. Don't you have enough?;SAMPLE TEXT 110

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F;;SAMPLE TEXT 111

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M;You may draw next turn. For now, make do.;SAMPLE TEXT 112

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F;;SAMPLE TEXT 113

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M;I will not allow you to draw a card on the first turn.;SAMPLE TEXT 114

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F;;SAMPLE TEXT 115

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M;You don't draw on the first turn. You will have to wait for that.;SAMPLE TEXT 116

GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F;;SAMPLE TEXT 117

TUTORIAL_TUTORIALMORETHANONECARD_949_M;You know you can play more than one card per turn... right?;SAMPLE TEXT 118

TUTORIAL_TUTORIALMORETHANONECARD_949_F;;SAMPLE TEXT 119

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M;Was I not clear?;SAMPLE TEXT 120

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F;;SAMPLE TEXT 121

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M;You can play a Squirrel and also sacrifice it in the same turn.;SAMPLE TEXT 122

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F;;SAMPLE TEXT 123

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M;You can play as many cards per turn as your sacrifices will allow...;SAMPLE TEXT 124

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F;;SAMPLE TEXT 125

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M;Just a Squirrel? Interesting choice...;SAMPLE TEXT 126

TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F;;SAMPLE TEXT 127

_OPPONENTSKIPTURN_479_M;I'm obligated to pass.;SAMPLE TEXT 128

_OPPONENTSKIPTURN_479_F;;SAMPLE TEXT 129

_OPPONENTSKIPTURN_REPEAT_#1_558_M;Pass.;SAMPLE TEXT 130

_OPPONENTSKIPTURN_REPEAT_#1_558_F;;SAMPLE TEXT 131

_OPPONENTSKIPTURN_REPEAT_#2_465_M;I'll pass.;SAMPLE TEXT 132

_OPPONENTSKIPTURN_REPEAT_#2_465_F;;SAMPLE TEXT 133

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M;Don't get ahead of yourself. You need to draw a card first.;SAMPLE TEXT 134

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F;;SAMPLE TEXT 135

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M;I won't allow you to play a card before you draw a new one.;SAMPLE TEXT 136

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F;;SAMPLE TEXT 137

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M;Draw a card.;SAMPLE TEXT 138

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F;;SAMPLE TEXT 139

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M;Stop. Draw a card.;SAMPLE TEXT 140

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F;;SAMPLE TEXT 141

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M;Your turn to draw. You can play cards after.;SAMPLE TEXT 142

GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F;;SAMPLE TEXT 143

TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M;Need I remind you? Your items may help...;SAMPLE TEXT 144

TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F;;SAMPLE TEXT 145

TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M;Have you forgotten the items I gave you? Tisk, tisk.;SAMPLE TEXT 146

TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F;;SAMPLE TEXT 147

TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M;An item could help...;SAMPLE TEXT 148

TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F;;SAMPLE TEXT 149

TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M;You're in a tough spot, no doubt.;SAMPLE TEXT 150

TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F;;SAMPLE TEXT 151

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M;You can't use that right now.;SAMPLE TEXT 152

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F;;SAMPLE TEXT 153

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M;That one's only for card dueling.;SAMPLE TEXT 154

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F;;SAMPLE TEXT 155

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M;I'll let you use that... but not now.;SAMPLE TEXT 156

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F;;SAMPLE TEXT 157

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M;Enough. You can't use that presently.;SAMPLE TEXT 158

GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F;;SAMPLE TEXT 159

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M;You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].;SAMPLE TEXT 160

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F;;SAMPLE TEXT 161

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M;You can't play that presently. But your [c:bR]Squirrel[c:] is free.;SAMPLE TEXT 162

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F;;SAMPLE TEXT 163

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M;No... But you can play your [c:bR]Squirrel[c:].;SAMPLE TEXT 164

GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F;;SAMPLE TEXT 165

SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M;Believe it or not, you're not the first to lose an eye here...;SAMPLE TEXT 166

SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F;Believe it or not, you're not the first to lose an eye here...;SAMPLE TEXT 167

SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M;This isn't much fun if you're half blind.;SAMPLE TEXT 168

SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F;;SAMPLE TEXT 169

SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M;Perhaps, you'd like to replace it?;SAMPLE TEXT 170

SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F;;SAMPLE TEXT 171

SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M;Would you care for a new eye?;SAMPLE TEXT 172

SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F;;SAMPLE TEXT 173

SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M;I imagine you'd like to replace that eye you lost.;SAMPLE TEXT 174

SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F;;SAMPLE TEXT 175

SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M;Better?;SAMPLE TEXT 176

SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F;;SAMPLE TEXT 177

SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M;Regardless, the choice is final.;SAMPLE TEXT 178

SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F;;SAMPLE TEXT 179

SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M;Happy with that one?;SAMPLE TEXT 180

SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F;;SAMPLE TEXT 181

SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M;The choice is final.;SAMPLE TEXT 182

SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F;;SAMPLE TEXT 183

TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M;Did I neglect to mention overkill damage?;SAMPLE TEXT 184

TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F;;SAMPLE TEXT 185

TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M;Excess damage is not wasted.;SAMPLE TEXT 186

TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F;;SAMPLE TEXT 187

TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M;It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.;SAMPLE TEXT 188

TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F;;SAMPLE TEXT 189

TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M;Lucky for you.;SAMPLE TEXT 190

TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F;;SAMPLE TEXT 191

TUTORIAL_TUTORIALWOODCARVERINTRO_587_M;An ancient woman emerged from behind an oak tree.;SAMPLE TEXT 192

TUTORIAL_TUTORIALWOODCARVERINTRO_587_F;;SAMPLE TEXT 193

TUTORIAL_TUTORIALWOODCARVERINTRO_136_M;She carefully laid out intricate wood carvings, then gestured at them brusquely.;SAMPLE TEXT 194

TUTORIAL_TUTORIALWOODCARVERINTRO_136_F;;SAMPLE TEXT 195

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M;The old [c:bR]woodcarver[c:] again appeared before you.;SAMPLE TEXT 196

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F;;SAMPLE TEXT 197

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M;It was another encounter with the [c:bR]woodcarver[c:].;SAMPLE TEXT 198

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F;;SAMPLE TEXT 199

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M;Taking a head and a body of a totem may bring good fortune.;SAMPLE TEXT 200

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F;;SAMPLE TEXT 201

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M;The [c:bR]woodcarver[c:] again offered her carvings.;SAMPLE TEXT 202

TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F;;SAMPLE TEXT 203

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M;You accepted the [c:bR]woodcarver's[c:] offering.;SAMPLE TEXT 204

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F;;SAMPLE TEXT 205

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M;It is useless without its second half...;SAMPLE TEXT 206

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F;;SAMPLE TEXT 207

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M;But you intuited that this would not be the last encounter with [c:bR]her[c:].;SAMPLE TEXT 208

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F;;SAMPLE TEXT 209

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M;Without a top and bottom the totem is incomplete.;SAMPLE TEXT 210

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F;;SAMPLE TEXT 211

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M;Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.;SAMPLE TEXT 212

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F;;SAMPLE TEXT 213

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M;You left with a piece, but without a complete totem.;SAMPLE TEXT 214

TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F;;SAMPLE TEXT 215

TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M;The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.;SAMPLE TEXT 216

TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F;;SAMPLE TEXT 217

TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_M;The [c:bR][v:0][c:] sigil will now be marked upon all your [c:bR][v:1][c:] creatures.;SAMPLE TEXT 218

TUTORIAL_TUTORIALWOODCARVERCOMPLETE_746_F;;SAMPLE TEXT 219

TUTORIAL_TUTORIALBUYPELTSINTRO_712_M;You were stopped along the way by a [c:bR]Trapper[c:] looking to liquidate his pelts.;SAMPLE TEXT 220

TUTORIAL_TUTORIALBUYPELTSINTRO_712_F;;SAMPLE TEXT 221

TUTORIAL_TUTORIALBUYPELTSINTRO_481_M;There was something uncanny about his appearance, but you were quickly distracted by his wares.;SAMPLE TEXT 222

TUTORIAL_TUTORIALBUYPELTSINTRO_481_F;;SAMPLE TEXT 223

TUTORIAL_TUTORIALBUYPELTSOUTRO_844_M;The man assured you of the value of the pelts.;SAMPLE TEXT 224

TUTORIAL_TUTORIALBUYPELTSOUTRO_844_F;;SAMPLE TEXT 225

TUTORIAL_TUTORIALBUYPELTSOUTRO_742_M;They appear to be useless in a fight...;SAMPLE TEXT 226

TUTORIAL_TUTORIALBUYPELTSOUTRO_742_F;;SAMPLE TEXT 227

TUTORIAL_TUTORIALBUYPELTSOUTRO_937_M;But he mentioned that [c:bR]The Trader[c:] further down the path would reward you for them.;SAMPLE TEXT 228

TUTORIAL_TUTORIALBUYPELTSOUTRO_937_F;;SAMPLE TEXT 229

TUTORIAL_TUTORIALTRADEPELTSINTRO_553_M;You encountered a small outpost in the woods tended by a mysterious woman.;SAMPLE TEXT 230

